,도시,DATE,SO2,CO,O3,NO2,PM10
1090,대구,2006-03-01,0.0076653407015567,0.6902828331408638,0.0244548522854325,0.0264420099257172,80.7534931678557
1091,대구,2006-04-01,0.0055252563360829,0.661165359372238,0.0272397696523538,0.023705904116646,85.31726315160536
1092,대구,2006-05-01,0.0050508661955848,0.6274438370545817,0.0290838822260645,0.0246507996355568,53.399066858919085
1093,대구,2006-06-01,0.0046478929495862,0.6383643061106342,0.0296564593700933,0.0236522808219541,59.53012591593447
1094,대구,2006-07-01,0.0036740643944616,0.6481517898951739,0.0154423395775416,0.0177652993365537,38.1521273795534
1095,대구,2006-08-01,0.0042313623374055,0.633796293328381,0.0246866128420338,0.0198974338047349,42.9820068285905
1096,대구,2006-09-01,0.0042792568146292,0.4865240038402307,0.0172593073226181,0.0238961195399037,37.20042453565199
1097,대구,2006-10-01,0.0060130126334159,0.673098495247932,0.0161868521902946,0.0305604211913211,63.83120110713966
1098,대구,2006-11-01,0.0073403616775867,0.7885748660178713,0.0115372727129989,0.0327591638746449,56.30288320215784
1099,대구,2006-12-01,0.0093322565713393,0.9107367285371,0.0094314517155748,0.0312566570699037,59.68424045220411
1100,대구,2007-01-01,0.0100385730592755,0.9004692306336827,0.0111262820037604,0.0323487159637673,60.34176863826745
1101,대구,2007-02-01,0.0061509340221635,0.6669567495673414,0.0193836580916257,0.0259545515292404,49.94163395955962
1102,대구,2007-03-01,0.0081613715726133,0.745615608622241,0.0227726621756696,0.0288209790237016,63.46453567699894
1103,대구,2007-04-01,0.0062962823696778,0.5628906397668991,0.0313932202762257,0.0261329949415467,82.61563965446081
1104,대구,2007-05-01,0.0058610735147843,0.549342144301466,0.0335839115885236,0.024751746899848,67.89859235110065
1105,대구,2007-06-01,0.0042231096833718,0.5703667447621767,0.0301218763166951,0.0201287610763995,43.29412245999934
1106,대구,2007-07-01,0.0047745635378371,0.6358913548791616,0.022518043278589,0.0201211864583631,49.40793800976653
1107,대구,2007-08-01,0.0044098548629688,0.5504453814137713,0.0183403727316488,0.0177366377605402,38.54792747790727
1108,대구,2007-09-01,0.0046681306114776,0.5911710264473923,0.0206941840168845,0.0199063534792242,37.052345358421626
1109,대구,2007-10-01,0.0047642115578048,0.6071553775878833,0.015456786027534,0.0290441066713898,46.52573988445072
1110,대구,2007-11-01,0.009134637455294,0.7919228212926758,0.0127035399227184,0.0382876078079051,71.75852458052185
1111,대구,2007-12-01,0.0103368585887866,0.8755804915357597,0.0112694077462851,0.0336516382189457,66.21730599914831
1112,대구,2008-01-01,0.009630547068181,0.8036560588223823,0.0117589073927977,0.0329264563292871,63.005601835850015
1113,대구,2008-02-01,0.00875725552691,0.6608313400761086,0.0195838170457162,0.0307907869985872,61.64126745721292
1114,대구,2008-03-01,0.0068400690566719,0.632879092712878,0.0243929546455896,0.0301670898289965,84.59414507682716
1115,대구,2008-04-01,0.0044667469335743,0.5435538940847839,0.0339255808539901,0.0267699672785475,56.99922726769805
1116,대구,2008-05-01,0.0042708682463196,0.5674070521017843,0.0360452076847383,0.0256198861156269,62.91507110058015
1117,대구,2008-06-01,0.0031956741433701,0.5435036642729648,0.0317539717108821,0.0196196554758173,47.54585047051732
1118,대구,2008-07-01,0.0035826919051191,0.5951462082835243,0.0265452142967549,0.0187178488461388,52.58909809045383
1119,대구,2008-08-01,0.0032095144524917,0.4845618561282136,0.0241665586405685,0.0147466367568917,38.17133742758684
1120,대구,2008-09-01,0.0037052453280709,0.5048247540515763,0.0218513365181371,0.0193328371033508,43.671236468761805
1121,대구,2008-10-01,0.0054570359283733,0.6269336056666718,0.0188444735813206,0.0311744296675,68.109282215598
1122,대구,2008-11-01,0.0065895652510387,0.7027311008480384,0.0119450379947883,0.0332499922752742,58.71068100430668
1123,대구,2008-12-01,0.009471536692394,0.8806788512783005,0.0107371801354746,0.0328909554785477,64.91769597875053
1124,대구,2009-01-01,0.0085888269102633,0.7302908258230629,0.0139690915100082,0.0320997203960419,51.49807419458081
1125,대구,2009-02-01,0.0080906668177715,0.7498393947225901,0.0156144158659257,0.0336683782638975,65.23001204189336
1126,대구,2009-03-01,0.0053068223848322,0.5067919841382479,0.0252034962528989,0.0263332142813007,51.92322077335995
1127,대구,2009-04-01,0.0053260956186937,0.5472993363831048,0.0350853701333271,0.0292387429010708,56.98410153396554
1128,대구,2009-05-01,0.004558945821492,0.5135260426545837,0.0345461438292709,0.026172947571217,51.42311645529827
1129,대구,2009-06-01,0.0041401078591597,0.5264692163267329,0.0330645541993182,0.0193796148220204,47.76271018302442
1130,대구,2009-07-01,0.003225266218312,0.5239783030872401,0.0222465780363667,0.0185780557292233,39.84246866045394
1131,대구,2009-08-01,0.0028944357277262,0.4189123430364828,0.0227985788320607,0.015887812334852,34.066167438718935
1132,대구,2009-09-01,0.0032514827868688,0.4266431495482367,0.0226456124210317,0.0210785628732361,38.63957114991698
1133,대구,2009-10-01,0.0042489642825962,0.5542896418407136,0.0185331834564548,0.0304396539100108,52.82239401875364
1134,대구,2009-11-01,0.0057378061317448,0.6305204972271542,0.0140284712802644,0.0301671430921512,47.096815104063175
1135,대구,2009-12-01,0.0076248495364667,0.7937075288857085,0.0116465149027528,0.0314825376474021,64.0082294719045
1136,대구,2010-01-01,0.0085167664779633,0.6966428846114416,0.0133150464118995,0.0324812466582049,58.474937822845305
1137,대구,2010-02-01,0.0064908653762501,0.6347757309985674,0.0168333465029936,0.029792771733646,50.80998118442918
1138,대구,2010-03-01,0.0047424998469044,0.4979956700922542,0.0239322199665093,0.0251996840278369,69.63761334606053
1139,대구,2010-04-01,0.0047678838692851,0.49104977395876,0.0284752798699399,0.0266486816943378,48.49213646715548
1140,대구,2010-05-01,0.0043418516953931,0.4603731861000505,0.0326724082117417,0.0233981598726344,55.95930494643263
1141,대구,2010-06-01,0.0046593184424802,0.5269623113606715,0.0373959294115495,0.0240875029033629,47.34173058702962
1142,대구,2010-07-01,0.0036321061795867,0.4469543557782372,0.0207415845468259,0.0173445171325213,35.82020212688666
1143,대구,2010-08-01,0.0034631613334267,0.4432629059533565,0.0210854960627168,0.0185097325805184,37.77675707676863
1144,대구,2010-09-01,0.0040507747406312,0.434698313221728,0.0176082167578647,0.0224748503829779,36.64984980132601
1145,대구,2010-10-01,0.0049989150895348,0.4939887754261373,0.01489778121104,0.0274210498027244,44.16093819786296
1146,대구,2010-11-01,0.0071934563548031,0.7123088193831572,0.0123615532539952,0.0378419917789896,71.11549010984236
1147,대구,2010-12-01,0.0073674164194426,0.7876125412406293,0.012027714576402,0.0354023687379769,68.72624005957161
1148,대구,2011-01-01,0.0059347080171507,0.5364122440827812,0.0185522028083554,0.0253908148951517,43.5103370661328
1149,대구,2011-02-01,0.0066626704306055,0.7475787134167077,0.0159253449547299,0.0376371664565707,66.91426874272551
1150,대구,2011-03-01,0.0059622122812944,0.5040771105943952,0.0279359733391508,0.0275672880462303,59.49813872045753
1151,대구,2011-04-01,0.0044083034754556,0.4797685838322155,0.0372172454776002,0.0257717042320788,52.09551247012611
1152,대구,2011-05-01,0.003764754991136,0.4099742761624622,0.0359519648288458,0.0244694067243119,66.96664576914593
1153,대구,2011-06-01,0.0040861847841424,0.4863996846158759,0.038989683822763,0.0229867499667615,46.74091820776137
1154,대구,2011-07-01,0.0037390251605733,0.4272379728185344,0.0203816750318944,0.0172981370514574,36.6553539410329
1155,대구,2011-08-01,0.0032489328758759,0.4227758416239644,0.0206426483235238,0.0168473033275353,34.094786925312334
1156,대구,2011-09-01,0.0032418581931246,0.3708110169755259,0.0247973556862504,0.0205747275994703,33.98181445467979
1157,대구,2011-10-01,0.0041263604774121,0.5084497534382242,0.0173964285871858,0.0318529762699298,46.04724923938025
1158,대구,2011-11-01,0.0053184405322784,0.663506093785784,0.0140663231558207,0.0308093043001928,49.341943935215454
1159,대구,2011-12-01,0.0064892020257171,0.5933140832990937,0.0135453029297551,0.0297986004303606,45.95490050931861
1160,대구,2012-01-01,0.0071596018284613,0.635537355235329,0.0153094115640645,0.0296273197552516,53.68988813853972
1161,대구,2012-02-01,0.0061214857809004,0.5678208212962325,0.0193377238142448,0.0280832190651136,50.957957322868616
1162,대구,2012-03-01,0.0045548176704149,0.4918347282105214,0.0301559557304176,0.0245306353848367,50.2075679262561
1163,대구,2012-04-01,0.0042872800571133,0.4324920396636881,0.035916051139825,0.0218231513724329,51.56228610287467
1164,대구,2012-05-01,0.0036391827764225,0.3808743971087232,0.0386382952741065,0.0222029506746965,50.55202602508572
